,,PLAYER,AB,R,H,HR,RBI,SO,SB,CS,BA
0,1,Mookie Betts,520,129,180,32,80,91,30,6,.346
1,2,J.D. Martinez,569,111,188,43,130,146,6,1,.330
2,3,Jeff McNeil,225,35,74,3,19,24,7,1,.329
3,4,Christian Yelich,574,118,187,36,110,135,22,4,.326
4,5,Jose Altuve,534,84,169,13,61,79,17,4,.316
5,6,Justin Turner,365,62,114,14,52,54,2,1,.312
6, ,Mike Trout,471,101,147,39,79,124,24,2,.312
7,8,Scooter Gennett,584,86,181,23,92,125,4,2,.310
8,9,Michael Brantley,570,89,176,17,76,60,12,3,.309
9, ,Freddie Freeman,618,94,191,23,98,132,10,3,.309
10,11,Lorenzo Cain,539,90,166,10,38,94,30,7,.308
11, ,Anthony Rendon,529,88,163,24,92,82,2,1,.308
12,13,Wilson Ramos,382,39,117,15,70,80,0,0,.306
13,14,Ben Zobrist,455,67,139,9,58,60,3,4,.305
14, ,Jose Martinez,534,64,163,17,83,104,0,3,.305
15,16,Jean Segura,586,91,178,10,63,69,20,11,.304
16, ,Whit Merrifield,632,88,192,12,60,114,45,10,.304
17,18,Robinson Cano,310,44,94,10,50,47,0,0,.303
18,19,Adam Eaton,319,55,96,5,33,64,9,1,.301
19,20,Corey Dickerson,504,65,151,13,55,80,8,3,.300
20, ,Joey Wendle,487,62,146,7,61,96,16,4,.300
21,22,Daniel Murphy,328,40,98,12,42,40,3,0,.299
22, ,Jesse Winker,281,38,84,7,43,46,0,0,.299
23,24,Nick Castellanos,620,88,185,23,89,151,2,1,.298
24,25,Nick Markakis,623,78,185,14,93,80,1,1,.297
25, ,Manny Machado,632,84,188,37,107,104,14,2,.297
26, ,Nolan Arenado,590,104,175,38,110,122,2,2,.297
27, ,Miguel Andujar,573,83,170,27,92,97,2,1,.297
28,29,David Freese,280,38,83,11,51,72,0,0,.296
29, ,Mallex Smith,480,65,142,2,40,98,40,12,.296
30,31,Matt Duffy,503,59,148,4,44,93,12,6,.294
31,32,David Peralta,560,75,164,30,87,124,4,0,.293
32, ,Ronald Acuna Jr.,433,78,127,26,64,123,16,5,.293
33,34,Andrelton Simmons,554,68,162,11,75,44,10,2,.292
34, ,Juan Soto,414,77,121,22,70,99,5,2,.292
35,36,Charlie Blackmon,626,119,182,29,70,134,12,4,.291
36, ,Trevor Story,598,88,174,37,108,168,27,6,.291
37, ,Yuli Gurriel,537,70,156,13,85,63,5,1,.291
38,39,Matt Kemp,462,62,134,21,85,115,0,0,.290
39, ,Paul Goldschmidt,593,95,172,33,83,173,7,4,.290
40, ,Javier Baez,606,101,176,34,111,167,21,9,.290
41, ,Andrew Benintendi,579,103,168,16,87,106,21,3,.290
42,43,Xander Bogaerts,513,72,148,23,103,102,8,2,.288
43, ,Eddie Rosario,559,87,161,24,77,104,8,2,.288
44, ,Jose Peraza,632,85,182,14,58,75,23,6,.288
45, ,Jorge Polanco,302,38,87,6,42,62,7,7,.288
46,47,Albert Almora Jr.,444,62,127,5,41,83,1,3,.286
47, ,Elias Diaz,252,33,72,10,34,40,0,1,.286
48, ,Alex Bregman,594,105,170,31,103,85,10,4,.286
49,50,Mitch Haniger,596,90,170,26,93,148,8,2,.285
50,51,Shohei Ohtani,326,59,93,22,61,102,10,4,.285
51,52,Joey Votto,503,67,143,12,67,101,2,0,.284
52, ,Steve Pearce,215,35,61,11,42,41,0,0,.284
53, ,Gerardo Parra,401,52,114,6,53,75,11,4,.284
54, ,Buster Posey,398,47,113,5,41,53,3,2,.284
55,56,Anthony Rizzo,566,74,160,25,101,80,6,4,.283
56, ,Eugenio Suarez,527,79,149,34,104,142,1,1,.283
57,58,Joe Mauer,486,64,137,6,48,86,0,1,.282
58,59,Adam Jones,580,54,163,15,63,93,7,1,.281
59, ,Lourdes Gurriel Jr.,249,30,70,11,35,59,1,2,.281
60,61,Melky Cabrera,250,28,70,6,39,38,1,1,.280
61, ,Marcell Ozuna,582,69,163,23,88,110,3,0,.280
62, ,Franmil Reyes,261,36,73,16,31,80,0,0,.280
63,64,Starlin Castro,593,76,165,12,54,124,6,4,.278
64, ,Aaron Judge,413,77,115,27,67,152,6,3,.278
65, ,Willy Adames,288,43,80,10,34,95,6,5,.278
66, ,Matt Chapman,547,100,152,24,68,146,1,2,.278
67,68,Starling Marte,559,81,155,20,72,109,33,14,.277
68, ,Brock Holt,321,41,89,7,46,73,7,7,.277
69, ,Francisco Lindor,661,129,183,38,92,107,25,10,.277
70, ,J.T. Realmuto,477,74,132,21,74,104,3,2,.277
71, ,Colin Moran,415,49,115,11,58,82,0,2,.277
72, ,Adam Frazier,318,52,88,10,35,53,1,3,.277
73,74,Carlos Gonzalez,463,71,128,16,64,113,5,2,.276
74, ,DJ LeMahieu,533,90,147,15,62,82,6,5,.276
75, ,Adalberto Mondesi,275,47,76,14,37,77,32,7,.276
76, ,Yairo Munoz,293,39,81,8,42,71,5,6,.276
77, ,Tyler White,210,27,58,12,42,49,0,1,.276
78,79,Tommy Pham,494,102,136,21,63,140,15,7,.275
79, ,Omar Narvaez,280,30,77,9,30,65,0,2,.275
80, ,David Fletcher,284,35,78,1,25,34,3,0,.275
81,82,Jesus Aguilar,492,80,135,35,108,143,0,0,.274
82,83,Adrian Beltre,433,49,118,15,65,96,1,0,.273
83, ,Robbie Grossman,396,50,108,5,48,83,0,1,.273
84, ,David Dahl,249,31,68,16,48,68,5,3,.273
85, ,Brian Anderson,590,87,161,11,65,129,2,4,.273
86,87,Eduardo Escobar,566,75,154,23,84,126,2,4,.272
87, ,Ben Gamel,257,37,70,1,19,61,7,3,.272
88, ,Kris Bryant,389,59,106,13,52,107,2,4,.272
89, ,Johan Camargo,464,63,126,19,76,108,1,1,.272
90,91,Kurt Suzuki,347,45,94,12,50,43,0,0,.271
91, ,Leury Garcia,258,23,70,4,32,69,12,1,.271
92, ,Trea Turner,664,103,180,19,73,132,43,9,.271
93, ,Gleyber Torres,431,54,117,24,77,122,6,2,.271
94,95,Jason Heyward,440,67,119,8,57,60,1,1,.270
95, ,Charlie Culberson,296,47,80,12,45,85,4,2,.270
96, ,Maikel Franco,433,48,117,22,68,62,1,0,.270
97, ,Jose Ramirez,578,110,156,39,105,80,34,6,.270
98,99,Jose Iglesias,432,43,116,5,48,47,15,6,.269
99,100,Jon Jay,527,74,141,3,40,95,4,3,.268
100,101,Dee Strange-Gordon,556,62,149,4,36,80,30,12,.268
101, ,Didi Gregorius,504,89,135,27,86,69,10,6,.268
102, ,Mitch Garver,302,38,81,7,45,72,0,0,.268
103,104,Jed Lowrie,596,78,159,23,99,128,0,0,.267
104, ,Wilmer Flores,386,43,103,11,51,42,0,0,.267
105, ,Yasiel Puig,405,60,108,23,63,87,15,5,.267
106, ,Stephen Piscotty,546,78,146,27,88,114,2,0,.267
107,108,Giancarlo Stanton,617,102,164,38,100,211,5,0,.266
108, ,Yan Gomes,403,52,107,16,48,119,0,0,.266
109,110,Eduardo Nunez,480,56,127,10,44,69,7,2,.265
110, ,Ender Inciarte,597,83,158,10,61,86,28,14,.265
111, ,Derek Dietrich,499,72,132,16,45,140,2,0,.265
112, ,Domingo Santana,211,21,56,5,20,77,1,1,.265
113, ,George Springer,544,102,144,22,71,122,6,4,.265
114, ,Jorge Soler,223,27,59,9,28,69,3,1,.265
115, ,Jose Abreu,499,68,132,22,78,109,2,0,.265
116, ,Jake Cave,283,54,75,13,45,102,2,1,.265
117,118,Shin-Soo Choo,560,83,148,21,62,156,6,1,.264
118, ,Ryan Zimmerman,288,33,76,13,51,55,1,1,.264
119, ,Harrison Bader,379,61,100,12,37,125,15,3,.264
120,121,Danny Valencia,255,28,67,9,28,53,1,1,.263
121, ,Brandon Nimmo,433,77,114,17,47,140,9,6,.263
122, ,Max Muncy,395,75,104,35,79,131,3,0,.263
123, ,Aledmys Diaz,422,55,111,18,55,62,3,4,.263
124, ,Tony Kemp,255,37,67,6,30,44,9,3,.263
125,126,Asdrubal Cabrera,546,68,143,23,75,119,0,0,.262
126, ,Jedd Gyorko,351,49,92,11,47,77,2,0,.262
127, ,Jorge Alfaro,344,35,90,10,37,138,3,0,.262
128, ,Daniel Robertson,282,46,74,9,34,77,2,2,.262
129,130,Yadier Molina,459,55,120,20,74,66,4,3,.261
130, ,Denard Span,437,63,114,11,58,79,9,4,.261
131, ,Mark Trumbo,330,41,86,17,44,87,0,0,.261
132, ,Josh Bell,501,74,131,12,62,104,2,5,.261
133, ,Isiah Kiner-Falefa,356,43,93,4,34,62,7,5,.261
134, ,Ozzie Albies,639,105,167,24,72,116,14,3,.261
135,136,Jonathan Villar,466,54,121,14,46,138,35,5,.260
136, ,John Hicks,288,35,75,9,32,84,0,1,.260
137, ,Ketel Marte,520,68,135,14,59,79,6,1,.260
138, ,Cody Bellinger,557,84,145,25,76,151,14,1,.260
139,140,Francisco Cervelli,332,39,86,12,57,84,2,3,.259
140, ,Travis Jankowski,347,45,90,4,17,73,24,7,.259
141,142,Renato Nunez,236,28,61,8,22,62,0,0,.258
142, ,Nomar Mazara,489,61,126,20,77,116,1,0,.258
143, ,Chad Pinder,298,43,77,13,27,88,0,2,.258
144,145,Justin Upton,533,80,137,30,85,176,8,2,.257
145, ,A.J. Pollock,413,61,106,21,65,100,13,2,.257
146, ,Matt Carpenter,564,111,145,36,81,158,4,1,.257
147, ,Greg Allen,265,36,68,2,20,58,21,4,.257
148,149,Nelson Cruz,519,70,133,37,97,122,1,0,.256
149, ,Elvis Andrus,395,53,101,6,33,66,5,3,.256
150,151,Enrique Hernandez,402,67,103,21,52,78,3,0,.256
151, ,Amed Rosario,554,76,142,9,51,119,24,11,.256
152, ,Nick Williams,407,53,104,17,50,111,3,2,.256
153,154,Andrew McCutchen,569,83,145,20,65,145,14,9,.255
154, ,Leonys Martin,318,48,81,11,33,77,7,4,.255
155, ,Marcus Semien,632,89,161,15,70,131,14,6,.255
156, ,Odubel Herrera,550,64,140,22,71,122,5,2,.255
157, ,Scott Schebler,380,55,97,17,49,99,4,2,.255
158,159,Ryan Braun,405,59,103,20,64,85,11,5,.254
159, ,Brandon Crawford,531,63,135,14,54,122,4,5,.254
160, ,Jurickson Profar,524,82,133,20,77,88,10,0,.254
161, ,Joe Panik,358,38,91,4,24,30,4,2,.254
162, ,Chris Taylor,536,85,136,17,63,178,9,6,.254
163, ,Gregory Polanco,461,75,117,23,81,117,12,2,.254
164,165,Hernan Perez,316,36,80,9,29,71,11,3,.253
165, ,Brandon Belt,399,50,101,14,46,107,4,0,.253
166, ,Eric Hosmer,613,72,155,18,69,142,7,4,.253
167, ,Cesar Hernandez,605,91,153,15,60,155,19,6,.253
168, ,Wil Myers,312,39,79,11,39,94,13,1,.253
169, ,C.J. Cron,501,68,127,30,74,145,1,2,.253
170, ,Rougned Odor,474,76,120,18,63,127,12,12,.253
171,172,Manny Pina,306,39,77,9,28,62,2,0,.252
172, ,Miguel Rojas,488,44,123,11,53,69,6,3,.252
173, ,Alen Hanson,294,36,74,8,39,71,7,3,.252
