Player ID,first_name,last_name,team,hits,avg,homeruns,atbats,obp,stolenbases,rbi
547989,Jose,Abreu,Chicago White Sox,132,.265,22,499,.325,2,78
660670,Ronald,Acuna,Atlanta Braves,127,.293,26,433,.366,16,64
592094,Jason,Adam,Chicago Cubs,0,.---,0,0,.---,0,0
642715,Willy,Adames,Tampa Bay Rays,80,.278,10,288,.348,6,34
613534,Austin,Adams,San Diego Padres,0,.---,0,0,.---,0,0
664856,Chance,Adams,Kansas City Royals,0,.---,0,0,.---,0,0
572669,Lane,Adams,Minnesota Twins,6,.240,2,25,.345,1,6
571431,Matt,Adams,Atlanta Braves,73,.239,21,306,.309,0,57
501303,Ehire,Adrianza,Minnesota Twins,84,.251,6,335,.301,5,39
542583,Jesus,Aguilar,Miami Marlins,135,.274,35,492,.352,0,108
605113,Nick,Ahmed,Arizona Diamondbacks,121,.234,16,516,.290,5,70
458006,Matt,Albers,Milwaukee Brewers,0,.---,0,0,.---,0,0
593643,Hanser,Alberto,Baltimore Orioles,5,.185,0,27,.241,0,0
645277,Ozzie,Albies,Atlanta Braves,167,.261,24,639,.305,14,72
645261,Sandy,Alcantara,Miami Marlins,0,.000,0,12,.077,0,0
622505,Victor,Alcantara,Detroit Tigers,0,.---,0,0,.---,0,0
518397,Scott,Alexander,Los Angeles Dodgers,0,.000,0,5,.000,0,0
595751,Jorge,Alfaro,Miami Marlins,90,.262,10,344,.324,3,37
546990,Anthony,Alford,Pittsburgh Pirates,2,.105,0,19,.190,1,1
663465,Kolby,Allard,Texas Rangers,1,1.000,0,1,1.000,0,0
592102,Cody,Allen,Chicago Cubs,0,.---,0,0,.---,0,0
656185,Greg,Allen,San Diego Padres,68,.257,2,265,.310,21,20
501659,Abraham,Almonte,San Diego Padres,24,.179,3,134,.260,2,9
622075,Yency,Almonte,Colorado Rockies,0,.000,0,1,.000,0,0
546991,Albert,Almora,Chicago Cubs,127,.286,5,444,.323,1,41
475174,Yonder,Alonso,San Diego Padres,129,.250,23,516,.317,0,83
571437,Aaron,Altherr,New York Mets,44,.181,8,243,.295,3,38
514888,Jose,Altuve,Houston Astros,169,.316,13,534,.386,17,61
621237,Jose,Alvarado,Tampa Bay Rays,0,.---,0,0,.---,0,0
501625,Jose,Alvarez,Philadelphia Phillies,0,.---,0,0,.---,0,0
474463,Brett,Anderson,Milwaukee Brewers,1,.250,0,4,.250,0,0
605119,Brian,Anderson,Miami Marlins,161,.273,11,590,.357,2,65
502624,Chase,Anderson,Toronto Blue Jays,4,.089,0,45,.089,0,2
623454,Drew,Anderson,Chicago White Sox,0,.000,0,3,.000,0,0
605121,Justin,Anderson,Los Angeles Angels,0,.---,0,0,.---,0,0
664196,Tanner,Anderson,Oakland Athletics,0,.000,0,1,.000,0,0
641313,Tim,Anderson,Chicago White Sox,136,.240,20,567,.281,26,64
542881,Tyler,Anderson,San Francisco Giants,5,.100,0,50,.167,0,1
607430,John,Andreoli,Boston Red Sox,14,.230,0,61,.284,2,4
542882,Matt,Andriese,Los Angeles Angels,0,.000,0,1,.000,0,0
462101,Elvis,Andrus,Texas Rangers,101,.256,6,395,.308,5,33
609280,Miguel,Andujar,New York Yankees,170,.297,27,573,.328,2,92
606157,Aristides,Aquino,Cincinnati Reds,0,.000,0,1,.000,0,0
644364,Victor,Arano,Philadelphia Phillies,0,.---,0,0,.---,0,0
502042,Chris,Archer,Pittsburgh Pirates,2,.118,0,17,.118,0,0
516472,Francisco,Arcia,Los Angeles Angels,21,.204,6,103,.226,1,23
606115,Orlando,Arcia,Milwaukee Brewers,82,.236,3,348,.268,7,30
571448,Nolan,Arenado,Colorado Rockies,175,.297,38,590,.374,2,110
542888,Shawn,Armstrong,Baltimore Orioles,0,.---,0,0,.---,0,0
453562,Jake,Arrieta,Philadelphia Phillies,6,.133,1,45,.188,0,3
624414,Christian,Arroyo,Boston Red Sox,14,.264,1,53,.339,0,6
553902,Willians,Astudillo,Minnesota Twins,33,.355,3,93,.371,0,21
592122,Tyler,Austin,Milwaukee Brewers,56,.230,17,244,.287,1,47
623214,Abiatal,Avelino,San Francisco Giants,3,.273,0,11,.273,0,0
488671,Alex,Avila,Minnesota Twins,32,.165,7,194,.299,0,20
501593,Luis,Avilan,New York Yankees,0,.000,0,1,.000,0,0
446099,John,Axford,Toronto Blue Jays,0,.---,0,0,.---,0,0
664056,Harrison,Bader,St. Louis Cardinals,100,.264,12,379,.334,15,37
595879,Javier,Baez,Chicago Cubs,176,.290,34,606,.326,21,111
520980,Pedro,Baez,Los Angeles Dodgers,0,.000,0,4,.000,0,0
622783,Sandy,Baez,Detroit Tigers,0,.---,0,0,.---,0,0
456701,Homer,Bailey,Minnesota Twins,3,.115,0,26,.148,0,0
542908,Jett,Bandy,Boston Red Sox,12,.188,1,64,.268,0,1
